#
# netstat -n -r -a -l
#
Routing tables

Internet:
Destination        Gateway            Flags        Refs      Use    Mtu   Netif Expire
52.27.137.34       172.31.98.1        UGHWIi          1       13   1500     en0
52.33.114.9        172.31.98.1        UGHWIi          1       17   1500     en0
52.34.206.238      172.31.98.1        UGHWIi          1       23   1500     en0
52.35.43.119       172.31.98.1        UGHWIi          1       38   1500     en0
52.36.123.80       172.31.98.1        UGHWIi          1       42   1500     en0
52.36.132.13       172.31.98.1        UGHWIi          1       12   1500     en0
52.40.41.239       172.31.98.1        UGHWIi          1       29   1500     en0
52.42.151.215      172.31.98.1        UGHWIi          1       50   1500     en0
52.44.129.43       172.31.98.1        UGHWIi          1       17   1500     en0
52.44.210.254      172.31.98.1        UGHWIi          1      738   1500     en0
52.44.248.176      172.31.98.1        UGHWIi          1      203   1500     en0
52.45.33.149       172.31.98.1        UGHWIi          1       97   1500     en0
52.45.42.0         172.31.98.1        UGHWIi          1      116   1500     en0
52.45.143.174      172.31.98.1        UGHWIi          1     2992   1500     en0
52.52.88.253       172.31.98.1        UGHWIi          1       34   1500     en0
52.53.253.47       172.31.98.1        UGHWIi          1        6   1500     en0
52.54.22.48        172.31.98.1        UGHWIi          1      131   1500     en0
52.54.237.144      172.31.98.1        UGHWIi          1       54   1500     en0
52.55.148.193      172.31.98.1        UGHWIi          1       17   1500     en0
52.55.155.49       172.31.98.1        UGHWIi          1       33   1500     en0
52.55.157.201      172.31.98.1        UGHWIi          1       63   1500     en0
52.71.169.31       172.31.98.1        UGHWIi          1       39   1500     en0
52.72.45.37        172.31.98.1        UGHWIi          1      171   1500     en0
52.72.55.108       172.31.98.1        UGHWIi          1       18   1500     en0
52.72.82.203       172.31.98.1        UGHWIi          2     6717   1500     en0
52.72.236.113      172.31.98.1        UGHWIi          1       95   1500     en0
52.73.123.67       172.31.98.1        UGHWIi          1       27   1500     en0
52.73.164.50       172.31.98.1        UGHWIi          1      172   1500     en0
52.73.225.139      172.31.98.1        UGHWIi          1       17   1500     en0
52.84.243.17       172.31.98.1        UGHWIi          1       38   1500     en0
52.84.243.54       172.31.98.1        UGHWIi          1       60   1500     en0
52.84.243.64       172.31.98.1        UGHWIi          1       14   1500     en0
52.84.243.68       172.31.98.1        UGHWIi          1       74   1500     en0
52.84.243.70       172.31.98.1        UGHWIi          1      208   1500     en0
52.84.243.86       172.31.98.1        UGHWIi          1     8376   1500     en0
52.84.243.95       172.31.98.1        UGHWIi          1       41   1500     en0
52.84.243.99       172.31.98.1        UGHWIi          1      154   1500     en0
52.84.243.102      172.31.98.1        UGHWIi          1    11526   1500     en0
52.84.243.103      172.31.98.1        UGHWIi          1    32053   1500     en0
52.84.243.108      172.31.98.1        UGHWIi          1    10426   1500     en0
52.84.243.112      172.31.98.1        UGHWIi          1     8704   1500     en0
52.84.243.115      172.31.98.1        UGHWIi          1       24   1500     en0
52.84.243.146      172.31.98.1        UGHWIi          1       34   1500     en0
52.84.243.160      172.31.98.1        UGHWIi          1       21   1500     en0
52.84.243.164      172.31.98.1        UGHWIi          1      558   1500     en0
52.84.243.167      172.31.98.1        UGHWIi          1     4145   1500     en0
52.84.243.172      172.31.98.1        UGHWIi          1    18857   1500     en0
52.84.243.175      172.31.98.1        UGHWIi          1    22572   1500     en0
52.84.243.183      172.31.98.1        UGHWIi          1        5   1500     en0
52.84.243.186      172.31.98.1        UGHWIi          1       19   1500     en0
52.84.243.191      172.31.98.1        UGHWIi          1       37   1500     en0
52.84.243.193      172.31.98.1        UGHWIi          1      572   1500     en0
52.84.243.204      172.31.98.1        UGHWIi          1    32673   1500     en0
52.84.243.205      172.31.98.1        UGHWIi          1       39   1500     en0
52.84.243.212      172.31.98.1        UGHWIi          1       24   1500     en0
52.84.243.229      172.31.98.1        UGHWIi          1      192   1500     en0
52.84.243.248      172.31.98.1        UGHWIi          1       12   1500     en0
52.84.243.252      172.31.98.1        UGHWIi          1       39   1500     en0
52.84.246.32       172.31.98.1        UGHWIi          1       44   1500     en0
52.84.246.50       172.31.98.1        UGHWIi          1       69   1500     en0
52.84.246.53       172.31.98.1        UGHWIi          1        6   1500     en0
52.84.246.60       172.31.98.1        UGHWIi          1       12   1500     en0
52.84.246.79       172.31.98.1        UGHWIi          1       69   1500     en0
52.84.246.81       172.31.98.1        UGHWIi          1       22   1500     en0
52.84.246.89       172.31.98.1        UGHWIi          1       45   1500     en0
52.84.246.112      172.31.98.1        UGHWIi          1       39   1500     en0
52.84.246.114      172.31.98.1        UGHWIi          1    10231   1500     en0
52.84.246.126      172.31.98.1        UGHWIi          1     6247   1500     en0
52.84.246.165      172.31.98.1        UGHWIi          1       64   1500     en0
52.84.246.166      172.31.98.1        UGHWIi          1       50   1500     en0
52.84.246.238      172.31.98.1        UGHWIi          1       67   1500     en0
52.87.141.251      172.31.98.1        UGHWIi          2      184   1500     en0
52.88.174.121      172.31.98.1        UGHWIi          1       99   1500     en0
52.89.169.203      172.31.98.1        UGHWIi          1      102   1500     en0
52.200.0.248       172.31.98.1        UGHWIi          1       56   1500     en0
52.200.253.84      172.31.98.1        UGHWIi          1      271   1500     en0
52.202.51.185      172.31.98.1        UGHWIi          1        8   1500     en0
52.202.122.113     172.31.98.1        UGHWIi          1       80   1500     en0
52.202.176.209     172.31.98.1        UGHWIi          1       62   1500     en0
52.202.188.5       172.31.98.1        UGHWIi          1       19   1500     en0
52.202.201.151     172.31.98.1        UGHWIi          1       20   1500     en0
52.204.73.60       172.31.98.1        UGHWIi          1      168   1500     en0
52.204.80.178      172.31.98.1        UGHWIi          1       30   1500     en0
52.204.163.121     172.31.98.1        UGHWIi          1       41   1500     en0
52.206.32.179      172.31.98.1        UGHWIi          1       19   1500     en0
52.206.38.66       172.31.98.1        UGHWIi          1      307   1500     en0
52.206.93.197      172.31.98.1        UGHWIi          1       17   1500     en0
52.206.112.96      172.31.98.1        UGHWIi          1      241   1500     en0
52.206.180.136     172.31.98.1        UGHWIi          1       64   1500     en0
52.206.241.226     172.31.98.1        UGHWIi          1       96   1500     en0
52.207.18.177      172.31.98.1        UGHWIi          1       17   1500     en0
52.207.74.85       172.31.98.1        UGHWIi          1       80   1500     en0
52.207.178.113     172.31.98.1        UGHWIi          1       15   1500     en0
52.207.181.90      172.31.98.1        UGHWIi          1      203   1500     en0
52.216.2.32        172.31.98.1        UGHWIi          1       55   1500     en0
52.216.16.99       172.31.98.1        UGHWIi          1       13   1500     en0
54.68.227.204      172.31.98.1        UGHWIi          1       17   1500     en0
54.69.111.239      172.31.98.1        UGHWIi          1       27   1500     en0
54.70.187.49       172.31.98.1        UGHWIi          1       17   1500     en0
54.83.120.182      172.31.98.1        UGHWIi          1       40   1500     en0
54.84.31.86        172.31.98.1        UGHWIi          1      389   1500     en0
54.86.59.133       172.31.98.1        UGHWIi          1       17   1500     en0
54.148.109.51      172.31.98.1        UGHWIi          1        6   1500     en0
54.148.137.206     172.31.98.1        UGHWIi          1       36   1500     en0
54.148.163.250     172.31.98.1        UGHWIi          1       18   1500     en0
54.164.133.236     172.31.98.1        UGHWIi          1       29   1500     en0
54.164.231.176     172.31.98.1        UGHWIi          1       29   1500     en0
54.165.24.88       172.31.98.1        UGHWIi          1       21   1500     en0
54.165.154.136     172.31.98.1        UGHWIi          1       30   1500     en0
54.165.255.130     172.31.98.1        UGHWIi          1       30   1500     en0
54.172.67.5        172.31.98.1        UGHWIi          1       68   1500     en0
54.175.108.225     172.31.98.1        UGHWIi          2      245   1500     en0
54.183.152.143     172.31.98.1        UGHWIi          1       28   1500     en0
54.183.191.60      172.31.98.1        UGHWIi          1       17   1500     en0
54.191.71.231      172.31.98.1        UGHWIi          1       17   1500     en0
54.191.253.21      172.31.98.1        UGHWIi          1       11   1500     en0
54.192.145.52      172.31.98.1        UGHWIi          1      216   1500     en0
54.197.237.55      172.31.98.1        UGHWIi          1       64   1500     en0
54.209.102.57      172.31.98.1        UGHWIi          1      188   1500     en0
54.209.145.121     172.31.98.1        UGHWIi          1       94   1500     en0
54.209.204.29      172.31.98.1        UGHWIi          1      104   1500     en0
54.210.53.165      172.31.98.1        UGHWIi          1       83   1500     en0
54.213.97.234      172.31.98.1        UGHWIi          1     2614   1500     en0
54.213.116.29      172.31.98.1        UGHWIi          1       45   1500     en0
54.213.209.225     172.31.98.1        UGHWIi          1       36   1500     en0
54.214.6.159       172.31.98.1        UGHWIi          1       34   1500     en0
54.214.25.107      172.31.98.1        UGHWIi          1       37   1500     en0
54.214.39.27       172.31.98.1        UGHWIi          1       19   1500     en0
54.214.45.18       172.31.98.1        UGHWIi          1       76   1500     en0
54.214.45.114      172.31.98.1        UGHWIi          1        8   1500     en0
54.214.47.110      172.31.98.1        UGHWIi          1       32   1500     en0
54.214.77.234      172.31.98.1        UGHWIi          1        2   1500     en0
54.214.254.133     172.31.98.1        UGHWIi          1      139   1500     en0
54.219.151.212     172.31.98.1        UGHWIi          1       15   1500     en0
54.230.145.187     172.31.98.1        UGHWIi          1      651   1500     en0
54.230.146.220     172.31.98.1        UGHWIi          1     1115   1500     en0
54.230.146.229     172.31.98.1        UGHWIi          1       85   1500     en0
54.231.82.10       172.31.98.1        UGHWIi          1    19456   1500     en0
54.231.98.91       172.31.98.1        UGHWIi          1       13   1500     en0
54.231.121.2       172.31.98.1        UGHWIi          1       35   1500     en0
54.236.183.119     172.31.98.1        UGHWIi          1      707   1500     en0
54.243.29.118      172.31.98.1        UGHWIi          1       30   1500     en0
54.245.81.169      172.31.98.1        UGHWIi          1      144   1500     en0
54.245.113.93      172.31.98.1        UGHWIi          1      115   1500     en0
63.146.70.16       172.31.98.1        UGHWIi          1       16   1500     en0
63.146.70.40       172.31.98.1        UGHWIi          1       42   1500     en0
63.146.70.48       172.31.98.1        UGHWIi          1      115   1500     en0
63.251.248.136     172.31.98.1        UGHWIi          1       24   1500     en0
64.15.183.163      172.31.98.1        UGHWIi          1        2   1500     en0
64.50.236.52       172.31.98.1        UGHWIi          1    10352   1500     en0
64.156.167.77      172.31.98.1        UGHWIi          1       26   1500     en0
64.156.167.78      172.31.98.1        UGHWIi          1       43   1500     en0
66.151.146.203     172.31.98.1        UGHWIi          1       40   1500     en0
66.155.15.45       172.31.98.1        UGHWIi          1       22   1500     en0
66.235.139.222     172.31.98.1        UGHWIi          1        2   1500     en0
69.16.175.10       172.31.98.1        UGHWIi          1      224   1500     en0
69.16.175.42       172.31.98.1        UGHWIi          1      165   1500     en0
70.42.160.11       172.31.98.1        UGHWIi          1       18   1500     en0
70.42.160.18       172.31.98.1        UGHWIi          1       77   1500     en0
70.42.160.19       172.31.98.1        UGHWIi          1       26   1500     en0
70.42.160.31       172.31.98.1        UGHWIi          1       27   1500     en0
70.42.160.37       172.31.98.1        UGHWIi          1       27   1500     en0
70.42.160.39       172.31.98.1        UGHWIi          1      145   1500     en0
70.42.160.49       172.31.98.1        UGHWIi          1       43   1500     en0
70.42.160.57       172.31.98.1        UGHWIi          1       79   1500     en0
70.42.160.64       172.31.98.1        UGHWIi          1        5   1500     en0
72.21.81.48        172.31.98.1        UGHWIi          1      441   1500     en0
72.21.91.29        172.31.98.1        UGHWIi          1      349   1500     en0
72.21.91.42        172.31.98.1        UGHWIi          1      291   1500     en0
72.167.18.239      172.31.98.1        UGHWIi          1      144   1500     en0
74.50.51.79        172.31.98.1        UGHWIi          1       45   1500     en0
74.121.136.104     172.31.98.1        UGHWIi          1       41   1500     en0
74.125.25.156      172.31.98.1        UGHWIi          1       56   1500     en0
74.125.28.154      172.31.98.1        UGHWIi          1       27   1500     en0
74.125.28.155      172.31.98.1        UGHWIi          1       55   1500     en0
74.125.28.156      172.31.98.1        UGHWIi          1       26   1500     en0
74.125.28.157      172.31.98.1        UGHWIi          1       26   1500     en0
75.101.130.35      172.31.98.1        UGHWIi          1       11   1500     en0
75.101.146.201     172.31.98.1        UGHWIi          1       50   1500     en0
85.114.159.93      172.31.98.1        UGHWIi          1       26   1500     en0
91.189.89.223      172.31.98.1        UGHWIi          1       15   1500     en0
91.189.89.228      172.31.98.1        UGHWIi          1     4733   1500     en0
91.189.89.229      172.31.98.1        UGHWIi          1       15   1500     en0
93.184.216.116     172.31.98.1        UGHWIi          1      717   1500     en0
93.184.216.182     172.31.98.1        UGHWIi          1      118   1500     en0
94.46.159.28       172.31.98.1        UGHWIi          1      397   1500     en0
94.46.159.29       172.31.98.1        UGHWIi          1      235   1500     en0
98.129.229.205     172.31.98.1        UGHWIi          1      622   1500     en0
98.137.250.95      172.31.98.1        UGHWIi          1     1093   1500     en0
104.16.24.216      172.31.98.1        UGHWIi          1       28   1500     en0
104.16.25.216      172.31.98.1        UGHWIi          1       28   1500     en0
104.16.26.216      172.31.98.1        UGHWIi          1       14   1500     en0
104.16.28.216      172.31.98.1        UGHWIi          1       22   1500     en0
104.20.20.239      172.31.98.1        UGHWIi          1       83   1500     en0
104.20.21.239      172.31.98.1        UGHWIi          1       19   1500     en0
104.20.23.46       172.31.98.1        UGHWIi          1     5005   1500     en0
104.20.64.68       172.31.98.1        UGHWIi          1        4   1500     en0
104.24.18.20       172.31.98.1        UGHWIi          1       89   1500     en0
104.193.82.65      172.31.98.1        UGHWIi          1       24   1500     en0
104.239.220.248    172.31.98.1        UGHWIi          1     1525   1500     en0
104.244.43.16      172.31.98.1        UGHWIi          1       11   1500     en0
104.244.43.48      172.31.98.1        UGHWIi          1        2   1500     en0
104.244.43.112     172.31.98.1        UGHWIi          1       17   1500     en0
104.254.150.4      172.31.98.1        UGHWIi          1      293   1500     en0
104.254.150.11     172.31.98.1        UGHWIi          1      378   1500     en0
104.254.150.21     172.31.98.1        UGHWIi          1      128   1500     en0
104.254.150.37     172.31.98.1        UGHWIi          1      149   1500     en0
104.254.150.58     172.31.98.1        UGHWIi          1       29   1500     en0
104.254.150.59     172.31.98.1        UGHWIi          1       14   1500     en0
104.254.150.77     172.31.98.1        UGHWIi          1       70   1500     en0
104.254.150.79     172.31.98.1        UGHWIi          1       46   1500     en0
107.21.4.55        172.31.98.1        UGHWIi          1       23   1500     en0
107.21.39.175      172.31.98.1        UGHWIi          1       49   1500     en0
107.21.245.245     172.31.98.1        UGHWIi          1      108   1500     en0
107.178.254.65     172.31.98.1        UGHWIi          1       17   1500     en0
108.38.249.194     172.31.98.1        UGHWIi          1       96   1500     en0
108.161.189.136    172.31.98.1        UGHWIi          1       24   1500     en0
108.168.142.92     172.31.98.1        UGHWIi          1       29   1500     en0
108.168.224.131    172.31.98.1        UGHWIi          1      107   1500     en0
108.174.10.10      172.31.98.1        UGHWIi          1       31   1500     en0
127.0.0.1          172.31.98.1        UGHWIi          3      173   1500     en0
128.241.90.171     172.31.98.1        UGHWIi          1       18   1500     en0
128.241.90.176     172.31.98.1        UGHWIi          1       20   1500     en0
128.241.90.184     172.31.98.1        UGHWIi          1       32   1500     en0
128.241.90.200     172.31.98.1        UGHWIi          1       38   1500     en0
128.241.90.202     172.31.98.1        UGHWIi          1       14   1500     en0
128.241.90.218     172.31.98.1        UGHWIi          1       38   1500     en0
128.241.216.160    172.31.98.1        UGHWIi          1       66   1500     en0
128.241.216.163    172.31.98.1        UGHWIi          1        4   1500     en0
128.241.216.193    172.31.98.1        UGHWIi          1       20   1500     en0
131.253.14.195     172.31.98.1        UGHWIi          1        2   1500     en0
138.197.227.131    172.31.98.1        UGHWIi          1       25   1500     en0
140.211.15.101     172.31.98.1        UGHWIi          1      875   1500     en0
146.174.253.130    172.31.98.1        UGHWIi          1     1358   1500     en0
148.62.1.66        172.31.98.1        UGHWIi          1       26   1500     en0
148.62.3.88        172.31.98.1        UGHWIi          1       27   1500     en0
151.101.40.133     172.31.98.1        UGHWIi          1       78   1500     en0
151.101.40.166     172.31.98.1        UGHWIi          1       18   1500     en0
151.101.44.133     172.31.98.1        UGHWIi          1      144   1500     en0
151.101.52.133     172.31.98.1        UGHWIi          1      703   1500     en0
151.101.52.162     172.31.98.1        UGHWIi          1      365   1500     en0
151.101.52.175     172.31.98.1        UGHWIi          1      612   1500     en0
151.101.52.207     172.31.98.1        UGHWIi          1      145   1500     en0
151.101.52.223     172.31.98.1        UGHWIi          1     1204   1500     en0
151.101.53.108     172.31.98.1        UGHWIi          1       13   1500     en0
152.163.13.67      172.31.98.1        UGHWIi          1      110   1500     en0
152.163.13.77      172.31.98.1        UGHWIi          1       41   1500     en0
156.154.202.36     172.31.98.1        UGHWIi          1       10   1500     en0
162.209.114.75     172.31.98.1        UGHWIi          1      631   1500     en0
162.247.242.18     172.31.98.1        UGHWIi          1       31   1500     en0
162.247.242.19     172.31.98.1        UGHWIi          1       34   1500     en0
162.247.242.20     172.31.98.1        UGHWIi          1       20   1500     en0
162.248.16.24      172.31.98.1        UGHWIi          1       53   1500     en0
162.248.16.31      172.31.98.1        UGHWIi          1      169   1500     en0
169.45.121.189     172.31.98.1        UGHWIi          1       15   1500     en0
169.54.129.15      172.31.98.1        UGHWIi          1       20   1500     en0
169.54.129.24      172.31.98.1        UGHWIi          1       28   1500     en0
169.54.129.27      172.31.98.1        UGHWIi          1       14   1500     en0
169.54.129.40      172.31.98.1        UGHWIi          1       28   1500     en0
172.31.98/23       link#4             UCS             2        0   1500     en0
172.31.98.1/32     link#4             UCS             2        0   1500     en0
172.31.98.1        84:d4:7e:cb:c3:54  UHLWIir       460       25   1500     en0    914
172.31.98.116/32   link#4             UCS             1        0   1500     en0
172.31.99.255      link#4             UHLWbI          1        9   1500     en0
172.99.100.163     172.31.98.1        UGHWIi          1       26   1500     en0
172.217.3.198      172.31.98.1        UGHWIi          1       27   1500     en0
172.217.4.132      172.31.98.1        UGHWIi          1      307   1500     en0
172.217.5.98       172.31.98.1        UGHWIi          1      106   1500     en0
172.217.5.100      172.31.98.1        UGHWIi          1       96   1500     en0
172.217.5.104      172.31.98.1        UGHWIi          1       82   1500     en0
172.217.5.106      172.31.98.1        UGHWIi          1      235   1500     en0
173.241.250.143    172.31.98.1        UGHWIi          1      108   1500     en0
173.241.250.199    172.31.98.1        UGHWIi          1       16   1500     en0
178.255.83.1       172.31.98.1        UGHWIi          1      102   1500     en0
184.24.162.217     172.31.98.1        UGHWIi          1      100   1500     en0
184.24.174.52      172.31.98.1        UGHWIi          1       14   1500     en0
184.28.244.8       172.31.98.1        UGHWIi          1       65   1500     en0
184.30.187.188     172.31.98.1        UGHWIi          1       77   1500     en0
184.87.65.59       172.31.98.1        UGHWIi          1       28   1500     en0
184.87.71.228      172.31.98.1        UGHWIi          1      239   1500     en0
184.87.76.155      172.31.98.1        UGHWIi          1      107   1500     en0
184.87.77.119      172.31.98.1        UGHWIi          1       78   1500     en0
184.87.161.136     172.31.98.1        UGHWIi          1    13016   1500     en0
184.87.162.103     172.31.98.1        UGHWIi          1       23   1500     en0
184.87.163.235     172.31.98.1        UGHWIi          1       57   1500     en0
184.169.134.250    172.31.98.1        UGHWIi          1       53   1500     en0
184.169.150.114    172.31.98.1        UGHWIi          1       18   1500     en0
184.169.175.212    172.31.98.1        UGHWIi          1       19   1500     en0
185.86.137.17      172.31.98.1        UGHWIi          1       33   1500     en0
192.0.73.2         172.31.98.1        UGHWIi          1      664   1500     en0
192.0.123.248      172.31.98.1        UGHWIi          1       60   1500     en0
192.0.123.249      172.31.98.1        UGHWIi          1       70   1500     en0
192.28.146.117     172.31.98.1        UGHWIi          1      184   1500     en0
192.30.253.112     172.31.98.1        UGHWIi          1       64   1500     en0
192.30.253.113     172.31.98.1        UGHWIi          1     4785   1500     en0
192.30.253.116     172.31.98.1        UGHWIi          1      139   1500     en0
192.30.253.117     172.31.98.1        UGHWIi          1       84   1500     en0
192.31.109.33      172.31.98.1        UGHWIi          1        8   1500     en0
198.8.71.239       172.31.98.1        UGHWIi          1       12   1500     en0
198.23.90.56       172.31.98.1        UGHWIi          1       39   1500     en0
198.35.26.112      172.31.98.1        UGHWIi          1      142   1500     en0
198.41.214.67      172.31.98.1        UGHWIi          1       56   1500     en0
198.41.214.68      172.31.98.1        UGHWIi          1       59   1500     en0
198.41.215.66      172.31.98.1        UGHWIi          1       21   1500     en0
198.41.215.67      172.31.98.1        UGHWIi          1       48   1500     en0
198.41.215.68      172.31.98.1        UGHWIi          1       79   1500     en0
198.54.12.127      172.31.98.1        UGHWIi          1       17   1500     en0
198.54.233.82      172.31.98.1        UGHWIi          1       11   1500     en0
198.54.233.83      172.31.98.1        UGHWIi          1        6   1500     en0
199.15.215.113     172.31.98.1        UGHWIi          1       52   1500     en0
199.15.215.200     172.31.98.1        UGHWIi          1       16   1500     en0
199.59.148.11      172.31.98.1        UGHWIi          1       32   1500     en0
199.59.148.12      172.31.98.1        UGHWIi          1       31   1500     en0
199.59.148.84      172.31.98.1        UGHWIi          1       47   1500     en0
199.59.149.243     172.31.98.1        UGHWIi          1       32   1500     en0
199.59.150.10      172.31.98.1        UGHWIi          1       58   1500     en0
199.59.150.42      172.31.98.1        UGHWIi          1        3   1500     en0
199.59.150.44      172.31.98.1        UGHWIi          1       50   1500     en0
199.96.57.6        172.31.98.1        UGHWIi          1      136   1500     en0
204.2.197.201      172.31.98.1        UGHWIi          1       10   1500     en0
204.44.79.174      172.31.98.1        UGHWIi          1       22   1500     en0
204.79.197.200     172.31.98.1        UGHWIi          1        2   1500     en0
204.154.110.79     172.31.98.1        UGHWIi          1       28   1500     en0
204.154.110.211    172.31.98.1        UGHWIi          1       24   1500     en0
204.154.110.237    172.31.98.1        UGHWIi          1      100   1500     en0
